Building_name,Floor Name,Workspace Name,Workspace Type,Area_Sqft
SFO12,5th Floor,Emerald Bay,SMART-ROOM,104
SFO12,5th Floor,Estero Bluffs,SMART-ROOM,115
SFO12,5th Floor,Folsom Lake,SMART-ROOM,112
SFO12,5th Floor,Half Moon Bay,Meeting Room,547
SFO12,5th Floor,Huddle Room - 522,Meeting Room,145
SFO12,5th Floor,Joshua Tree,SMART-ROOM,264
SFO12,5th Floor,King's Beach,Meeting Room,130
SFO12,5th Floor,Lake Oroville,Meeting Room,70
SFO12,5th Floor,Lighthouse Field,Meeting Room,77
SFO12,5th Floor,Malibu Creek,Meeting Room,79
SFO12,5th Floor,Mandalay Beach,Meeting Room,77
SFO12,5th Floor,Mojave,SMART-ROOM,237
SFO12,5th Floor,Mt. Whitney,Meeting Room,447
SFO12,5th Floor,Muir Woods,Meeting Room,1042
SFO12,5th Floor,Olompali Park,Meeting Room,78
SFO12,5th Floor,Palomar Mountain,Meeting Room,78
SFO12,5th Floor,Pelican Beach,SMART-ROOM,88
SFO12,5th Floor,Petaluma Adobe,SMART-ROOM,86
SFO12,5th Floor,Pismo Beach,SMART-ROOM,130
SFO12,5th Floor,Placerita Canyon Toronado,SMART-ROOM,124
SFO12,5th Floor,Point Reyes,SMART-ROOM,260
SFO12,5th Floor,Russian River,SMART-ROOM,130
SFO12,5th Floor,Silver Strand,SMART-ROOM,101
SFO12,5th Floor,Tahoe,SMART-ROOM,100
SFO12,5th Floor,Torrey Pines,Meeting Room,87
SFO12,5th Floor,Yosemite,SMART-ROOM,100
