Building Name,Floor Name,Space Name,Space Capacity,Local Date,Local Time,Booking Status,People Presence,Peak People Count,UTC Timestamp,Time Zone,Hierarchy Path,Workspace Type,temperature,humidity,co2,Building Count,occupied,meeting_event_id,meeting_event_flag
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,05:00:00,False,False,0,1746100800000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,69.93,53.0,434.0,0.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,05:15:00,False,False,0,1746101700000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,69.86,54.0,433.0,0.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,05:30:00,False,False,0,1746102600000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,69.99,54.0,430.0,0.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,05:45:00,False,False,0,1746103500000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.2,54.0,432.0,0.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,06:00:00,False,False,0,1746104400000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.4,53.0,436.0,2.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,06:15:00,False,False,0,1746105300000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.55,53.0,436.0,4.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,06:30:00,False,False,0,1746106200000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.67,53.0,436.0,3.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,06:45:00,False,False,0,1746107100000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.87,52.0,432.0,5.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,07:00:00,False,False,0,1746108000000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.01,52.0,437.0,10.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,07:15:00,False,False,0,1746108900000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.12,52.0,444.0,19.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,07:30:00,False,False,0,1746109800000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.21,52.0,447.0,24.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,07:45:00,False,False,0,1746110700000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.32,52.0,446.0,40.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,08:00:00,False,False,0,1746111600000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.4,52.0,444.0,60.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,08:15:00,False,False,0,1746112500000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.4,52.0,451.0,77.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,08:30:00,False,False,0,1746113400000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.32,52.0,445.0,81.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,08:45:00,False,True,2,1746114300000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.21,52.0,447.0,102.0,True,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,09:00:00,True,False,0,1746115200000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.41,52.0,468.0,142.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,09:15:00,True,False,0,1746116100000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,72.72,51.0,488.0,156.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,09:30:00,True,True,1,1746117000000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,72.63,50.0,481.0,175.0,True,6771140031279859755,1
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,09:45:00,True,True,2,1746117900000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,72.37,51.0,473.0,200.0,True,6771140031279859755,1
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,10:00:00,True,True,3,1746118800000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,72.56,50.0,489.0,219.0,True,6771140031279859755,1
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,10:15:00,True,True,2,1746119700000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,72.74,50.0,481.0,260.0,True,6771140031279859755,1
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,10:30:00,True,True,2,1746120600000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,72.58,50.0,478.0,269.0,True,6771140031279859755,1
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,10:45:00,True,True,3,1746121500000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,72.76,50.0,478.0,279.0,True,6771140031279859755,1
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,11:00:00,True,True,3,1746122400000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,72.9,49.0,489.0,282.0,True,6771140031279859755,1
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,11:15:00,True,False,0,1746123300000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,72.84,49.0,485.0,286.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,11:30:00,True,False,0,1746124200000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,72.39,49.0,451.0,292.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,11:45:00,True,False,0,1746125100000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.85,50.0,450.0,299.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,12:00:00,True,False,0,1746126000000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.56,50.0,442.0,302.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,12:15:00,False,False,0,1746126900000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.36,51.0,449.0,305.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,12:30:00,True,True,2,1746127800000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.31,51.0,453.0,313.0,True,3987349375424793686,1
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,12:45:00,True,True,2,1746128700000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.31,51.0,464.0,305.0,True,3987349375424793686,1
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,13:00:00,True,True,3,1746129600000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.32,51.0,477.0,303.0,True,3987349375424793686,1
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,13:15:00,True,True,3,1746130500000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.31,51.0,478.0,317.0,True,3987349375424793686,1
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,13:30:00,True,True,3,1746131400000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.38,50.0,468.0,324.0,True,3987349375424793686,1
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,13:45:00,True,False,0,1746132300000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.36,50.0,445.0,302.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,14:00:00,True,True,3,1746133200000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.27,50.0,452.0,287.0,True,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,14:15:00,True,True,2,1746134100000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,71.11,50.0,449.0,297.0,True,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,14:30:00,True,False,0,1746135000000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.96,51.0,448.0,291.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,14:45:00,True,False,0,1746135900000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.77,51.0,446.0,276.0,False,0,0
Cisco San Francisco SFO12,3rd Floor,bullitt,6,2025-05-01,15:00:00,False,False,0,1746136800000,America/Los_Angeles,Meraki_DNAS/Cisco Meraki/Cisco San Francisco SFO12/3rd Floor,SMART-ROOM,70.7,51.0,451.0,268.0,False,0,0
